Entidade / Tela,Campo / Atributo,Tipo de Dado,Restrições,Regra de Negócio / Tratamento,Ciclo de Vida do Dado,,,,clinicas,acolhimento,total de buscas,desistencias,usuarios,avanço,entrada,saida,SUCESSO,empenho,vicio,drogas possiveis,drogas usada
Usuário,id_usuario,Inteiro,"Chave primária (PK), Não nulo, Único",identificar do usuário sequencial e gerado no sistema,"Inserção (Create), Consulta (Read), Exclusão (Delete)",,,,marev,,,,,,,,,,,maconha,
Usuário,data_nascimento,Data,Nulo,Armazena a data de nascimento informada pelo usuário,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,moeiah,,,,,,,,,,,heroina,
Usuário,data_cadastro,Data/Hora,Não nulo,Registra automaticamente a data e hora em que o usuário foi cadastrado,"Inserção (Create), Consulta (Read)",,,,CRMC,,,,,,,,,,,cocaina,
Usuário,ultimo_acesso,Data/Hora,Nulo,Registra a data e hora do último acesso do usuário ao sistema,"Consulta (Read), Atualização (Update)",,,,viv,,,,,,,,,,,crack,
Usuário,email_usuario,Texto,Não nulo,Armazena o endereço de e-mail do usuário para identificação e acesso ao sistema.,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,E.C,,,,,,,,,,,tabaço,
Usuário,senha,Texto,Não nulo,Armazena a senha do usuário para permitir a autenticação e o acesso à sua conta.,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,prós-vidas,,,,,,,,,,,metafetamina,
Usuário,nome_usuario,Texto,Não nulo,identifica o usuário,"Consulta (Read), Inserção (Create), Atualização (Update)",,,,CDQF,,,,,,,,,,,antafetamina,
Usuário,localizacao_usuario,Texto,Não nulo,usado para buscar serviços próximos,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,HSM,,,,,,,,,,,MDMA,
Serviços de saúde,endereco_clinica,Texto,Não nulo,Armazena o endereço da clínica para permitir que o usuário localize o serviço de saúde.,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,CJE,,,,,,,,,,,flakka,
Serviços de saúde,atendimento_sem_estigma,Booleano,Não nulo,"Indica se o serviço de saúde oferece atendimento sem estigma, preconceito ou julgamento ao usuário.","Inserção (Create), Consulta (Read), Atualização (Update)",,,,GVN,,,,,,,,,,,mephedrone,
Serviços de saúde,id_servico,Inteiro,Chave primária (PK),identifica o serviço,"Inserção (Create), Consulta (Read)",,,,recomeço,,,,,,,,,,,alcool,
Serviços de saúde,nome_servico,Texto,Não nulo,Identificar o serviço de saúde pelo nome,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,ipq,,,,,,,,,,,fentanil,
Serviços de saúde,latitude,Decimal,Não nulo,Armazenar a latitude da localização do serviço,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,jorge jaber,,,,,,,,,,,morfina,
Serviços de saúde,longitude,Decimal,Não nulo,Armazenar a longitude da localização do serviço,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,greemwood,,,,,,,,,,,oxicodona,
Serviços de saúde,horario_funcionamento,Texto,Não nulo,Informar os dias e horários de funcionamento do serviço,"Inserção (Create), Consulta (Read), Atualização (Update)",,,,Villa san pietro,,,,,,,,,,,codeina,
