clinicas,acolhimento,total de buscas,desistencias,usuarios,avanço,entrada,saida,SUCESSO,empenho,vicio,drogas possiveis,drogas usada
marev,,,,,,,,,,,maconha,
moeiah,,,,,,,,,,,heroina,
CRMC,,,,,,,,,,,cocaina,
viv,,,,,,,,,,,crack,
E.C,,,,,,,,,,,tabaço,
prós-vidas,,,,,,,,,,,metafetamina,
CDQF,,,,,,,,,,,antafetamina,
HSM,,,,,,,,,,,MDMA,
CJE,,,,,,,,,,,flakka,
GVN,,,,,,,,,,,mephedrone,
recomeço,,,,,,,,,,,alcool,
ipq,,,,,,,,,,,fentanil,
jorge jaber,,,,,,,,,,,morfina,
greemwood,,,,,,,,,,,oxicodona,
Villa san pietro,,,,,,,,,,,codeina,
PNL,,,,,,,,,,,clonazepam,
quinta do sol,,,,,,,,,,,diazepam,
sentido da vida,,,,,,,,,,,alprozapam,
leonardo russo,,,,,,,,,,,GBL,
são pietro,,,,,,,,,,,K9,
monte sinai,,,,,,,,,,,cetamina,
vida viva,,,,,,,,,,,DMT,
vila serena,,,,,,,,,,,LSD,
huxley,,,,,,,,,,,cogumeloa psicobinos,
alianla integral,,,,,,,,,,,xilazina,
novo mundo,,,,,,,,,,,poppers,
viva esperança,,,,,,,,,,,carisoprodol,
san julian,,,,,,,,,,,captagon,
fazenda nacional,,,,,,,,,,,,
